id,categories,authors_parsed,year
1509.01549,cs.AI cs.LG cs.NE,"[['Lai', 'Matthew', '']]",2015
1509.01644,cs.AI cs.LG,"[['Masson', 'Warwick', ''], ['Ranchod', 'Pravesh', ''], ['Konidaris', 'George', '']]",2015
1509.02413,cs.AI,"[['Huang', 'Yanping', '']]",2015
1509.03005,cs.LG cs.AI cs.NE stat.ML,"[['Balduzzi', 'David', ''], ['Ghifary', 'Muhammad', '']]",2015
1509.03044,cs.LG cs.AI cs.SY,"[['Li', 'Xiujun', ''], ['Li', 'Lihong', ''], ['Gao', 'Jianfeng', ''], ['He', 'Xiaodong', ''], ['Chen', 'Jianshu', ''], ['Deng', 'Li', ''], ['He', 'Ji', '']]",2015
1509.04064,cs.AI,"[['Castronovo', 'Michael', ''], ['Ernst', 'Damien', ''], ['Couetoux', 'Adrien', ''], ['Fonteneau', 'Raphael', '']]",2016
1509.06113,cs.LG cs.CV cs.RO,"[['Finn', 'Chelsea', ''], ['Tan', 'Xin Yu', ''], ['Duan', 'Yan', ''], ['Darrell', 'Trevor', ''], ['Levine', 'Sergey', ''], ['Abbeel', 'Pieter', '']]",2016
1509.06461,cs.LG,"[['van Hasselt', 'Hado', ''], ['Guez', 'Arthur', ''], ['Silver', 'David', '']]",2015
1509.06791,cs.LG cs.RO,"[['Zhang', 'Tianhao', ''], ['Kahn', 'Gregory', ''], ['Levine', 'Sergey', ''], ['Abbeel', 'Pieter', '']]",2016
1509.06824,cs.LG cs.RO,"[['Xie', 'Christopher', ''], ['Patil', 'Sachin', ''], ['Moldovan', 'Teodor', ''], ['Levine', 'Sergey', ''], ['Abbeel', 'Pieter', '']]",2016
1509.08731,stat.ML cs.AI cs.LG,"[['Mohamed', 'Shakir', ''], ['Rezende', 'Danilo Jimenez', '']]",2015
1510.03591,stat.ML cs.SY math.OC,"[['Klenske', 'Edgar D.', ''], ['Hennig', 'Philipp', '']]",2016
1510.04692,cs.NI,"[['Ruby', 'Rukhsana', ''], ['Leung', 'Victor C. M.', ''], ['Sydor', 'John', '']]",2015
1510.05880,cs.SE cs.SY,"[['Junges', 'Sebastian', ''], ['Jansen', 'Nils', ''], ['Dehnert', 'Christian', ''], ['Topcu', 'Ufuk', ''], ['Katoen', 'Joost-Pieter', '']]",2015
1510.08906,stat.ML cs.AI cs.LG,"[['Dann', 'Christoph', ''], ['Brunskill', 'Emma', '']]",2016
1510.09202,cs.CL cs.LG cs.NE,"[['Guo', 'Hongyu', '']]",2015
1511.00740,q-fin.TR cs.LG,"[['Martínez-Miranda', 'Enrique', ''], ['McBurney', 'Peter', ''], ['Howard', 'Matthew J.', '']]",2015
1511.03722,cs.LG cs.AI cs.SY stat.ME stat.ML,"[['Jiang', 'Nan', ''], ['Li', 'Lihong', '']]",2016
1511.03791,cs.LG cs.CV cs.RO,"[['Zhang', 'Fangyi', ''], ['Leitner', 'Jürgen', ''], ['Milford', 'Michael', ''], ['Upcroft', 'Ben', ''], ['Corke', 'Peter', '']]",2015
1511.04143,cs.AI cs.LG cs.MA cs.NE,"[['Hausknecht', 'Matthew', ''], ['Stone', 'Peter', '']]",2016
1511.04636,cs.AI cs.CL cs.LG,"[['He', 'Ji', ''], ['Chen', 'Jianshu', ''], ['He', 'Xiaodong', ''], ['Gao', 'Jianfeng', ''], ['Li', 'Lihong', ''], ['Deng', 'Li', ''], ['Ostendorf', 'Mari', '']]",2016
1511.06015,cs.CV,"[['Caicedo', 'Juan C.', ''], ['Lazebnik', 'Svetlana', '']]",2015
1511.06342,cs.LG,"[['Parisotto', 'Emilio', ''], ['Ba', 'Jimmy Lei', ''], ['Salakhutdinov', 'Ruslan', '']]",2016
